usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,15/07/2020,15/07/2020,77,2.8,0.42,20,13
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,28/05/2020,28/05/2020,75.9,3.3,0.08,10,106
Customer,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,16/04/2020,16/04/2020,58,6.2,0,10,3
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,02/01/2020,02/01/2020,38.7,7,0,10,41
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,10/06/2020,10/06/2020,74,2.5,0.01,20,8
Subscriber,10002,Manhattan,Lower East Side,10010,Manhattan,Gramercy Park and Murray Hill,12/11/2019,12/11/2019,59.5,2.4,0,10,16
Subscriber,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,11/03/2019,11/03/2019,53.6,4.6,0,0,3
Subscriber,10002,Manhattan,Lower East Side,10168,Manhattan,Gramercy Park and Murray Hill,25/11/2019,25/11/2019,60,4.3,0.02,20,2
Subscriber,10002,Manhattan,Lower East Side,10007,Manhattan,Lower Manhattan,02/04/2019,02/04/2019,47.3,1.9,0,20,4
Subscriber,10002,Manhattan,Lower East Side,10022,Manhattan,Gramercy Park and Murray Hill,08/03/2020,08/03/2020,41.4,4,0,20,1
Subscriber,10002,Manhattan,Lower East Side,10010,Manhattan,Gramercy Park and Murray Hill,11/10/2019,11/10/2019,54.9,3.7,0.14,10,12
Subscriber,10002,Manhattan,Lower East Side,10017,Manhattan,Gramercy Park and Murray Hill,13/11/2020,13/11/2020,55.4,9.4,0.01,30,4
Customer,10002,Manhattan,Lower East Side,10282,Manhattan,Tribeca,26/07/2019,26/07/2019,73.9,3.6,0,20,1
Customer,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,16/07/2019,16/07/2019,73.3,2.5,1.3,10,3
Subscriber,10002,Manhattan,Lower East Side,10278,Manhattan,Lower Manhattan,26/09/2019,26/09/2019,66.2,4.3,0.3,10,11
Subscriber,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,18/09/2019,18/09/2019,65.8,1.8,0,40,1
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,09/10/2020,09/10/2020,66.6,3,0,0,21
Subscriber,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,02/12/2019,02/12/2019,39.4,8,0.09,10,33
Subscriber,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,25/11/2019,25/11/2019,60,4.3,0.02,10,17
Customer,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,10/06/2019,10/06/2019,69.5,3.4,0.96,20,2
Customer,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,01/06/2020,01/06/2020,58,7.9,1.89,40,2
